date,avg,35T,36T
1/1/2012,19,NaN,19
1/2/2012,15,NaN,15
1/3/2012,16,NaN,16
1/4/2012,15,NaN,15
1/5/2012,18,NaN,18
1/6/2012,17,NaN,17
1/7/2012,17,NaN,17
1/8/2012,21,NaN,21
1/9/2012,23,NaN,23
1/10/2012,19,NaN,19
1/11/2012,18,NaN,18
1/12/2012,20,NaN,20
1/13/2012,26,NaN,26
1/14/2012,24,NaN,24
1/15/2012,16,NaN,16
1/16/2012,17,NaN,17
1/17/2012,19,NaN,19
1/18/2012,20,NaN,20
1/19/2012,17,NaN,17
1/20/2012,20,NaN,20
1/21/2012,14,NaN,14
1/22/2012,13,NaN,13
1/23/2012,13,NaN,13
1/24/2012,14,NaN,14
1/25/2012,14,NaN,14
1/26/2012,14,NaN,14
1/27/2012,16,NaN,16
1/28/2012,16,NaN,16
1/29/2012,21,NaN,21
1/30/2012,21,NaN,21
1/31/2012,27,NaN,27
2/1/2012,28,NaN,28
2/2/2012,25,NaN,25
2/3/2012,27,NaN,27
2/4/2012,22,NaN,22
2/5/2012,21,NaN,21
2/6/2012,22,NaN,22
2/7/2012,25,NaN,25
2/8/2012,28,NaN,28
2/9/2012,34,NaN,34
2/10/2012,29,NaN,29
2/11/2012,29,NaN,29
2/12/2012,27,NaN,27
2/13/2012,23,NaN,23
2/14/2012,29,NaN,29
2/15/2012,45,NaN,45
2/16/2012,41,NaN,41
2/17/2012,88,NaN,88
2/18/2012,97,NaN,97
2/19/2012,52,NaN,52
2/20/2012,48,NaN,48
2/21/2012,51,NaN,51
2/22/2012,53,NaN,53
2/23/2012,75,NaN,75
2/24/2012,82,NaN,82
2/25/2012,122,NaN,122
2/26/2012,117,NaN,117
2/27/2012,81,NaN,81
2/28/2012,79,NaN,79
2/29/2012,83,NaN,83
3/1/2012,89,NaN,89
3/2/2012,100,NaN,100
3/3/2012,86,NaN,86
3/4/2012,74,NaN,74
3/5/2012,85,NaN,85
3/6/2012,105,NaN,105
3/7/2012,120,NaN,120
3/8/2012,120,NaN,120
3/9/2012,147,NaN,147
3/10/2012,110,NaN,110
3/11/2012,34,NaN,34
3/12/2012,34,NaN,34
3/13/2012,31,NaN,31
3/14/2012,29,NaN,29
3/15/2012,38,NaN,38
3/16/2012,40,NaN,40
3/17/2012,66,NaN,66
3/18/2012,120,NaN,120
3/19/2012,127,NaN,127
3/20/2012,104,NaN,104
3/21/2012,85,NaN,85
3/22/2012,74,NaN,74
3/23/2012,73,NaN,73
3/24/2012,67,NaN,67
3/25/2012,60,NaN,60
3/26/2012,50,NaN,50
3/27/2012,46,NaN,46
3/28/2012,51,NaN,51
3/29/2012,64,NaN,64
3/30/2012,72,NaN,72
3/31/2012,90,NaN,90
4/1/2012,58,NaN,58
4/2/2012,55,NaN,55
4/3/2012,58,NaN,58
4/4/2012,68,NaN,68
4/5/2012,31,NaN,31
4/6/2012,31,NaN,31
4/7/2012,16,NaN,16
4/8/2012,23,NaN,23
4/9/2012,24,NaN,24
4/10/2012,27,NaN,27
4/11/2012,29,NaN,29
4/12/2012,36,NaN,36
4/13/2012,46,NaN,46
4/14/2012,43,NaN,43
4/15/2012,44,NaN,44
4/16/2012,39,NaN,39
4/17/2012,36,NaN,36
4/18/2012,38,NaN,38
4/19/2012,38,NaN,38
4/20/2012,36,NaN,36
4/21/2012,48,NaN,48
4/22/2012,48,NaN,48
4/23/2012,40,NaN,40
4/24/2012,42,NaN,42
4/25/2012,49,NaN,49
4/26/2012,56,NaN,56
4/27/2012,42,NaN,42
4/28/2012,36,NaN,36
4/29/2012,22,NaN,22
4/30/2012,19,NaN,19
5/1/2012,18,NaN,18
5/2/2012,22,NaN,22
5/3/2012,28,NaN,28
5/4/2012,23,NaN,23
5/5/2012,14,NaN,14
