year,day,hour,avg
2012,1,0,94.75
2012,1,1,89
2012,1,2,82.5
2012,1,3,94
2012,1,4,93
2012,1,5,96
2012,1,6,99
2012,1,7,39.15432514
2012,1,8,88
2012,1,9,78.66571429
2012,1,10,64.47166667
2012,1,11,56.33333333
2012,1,12,51
2012,1,13,47.5
2012,1,14,45.57142857
2012,1,15,45.54
2012,1,16,53.665
2012,1,17,63.665
2012,1,18,84.415
2012,1,19,94.83
2012,1,20,97.83
2012,1,21,99.67
2012,1,22,87.4
2012,1,23,53.97942966
2012,2,0,79.79877597
2012,2,1,87
2012,2,2,69.53053786
2012,2,3,50.47756981
2012,2,4,91
2012,2,5,42.36156907
2012,2,6,78.11306364
2012,2,7,36.03095578
2012,2,8,74.85918433
2012,2,9,76.58
2012,2,10,61.335
2012,2,11,54.83
2012,2,12,53.085
2012,2,13,49.58
2012,2,14,58.415
2012,2,15,66.75
2012,2,16,58.75
2012,2,17,64.585
2012,2,18,87.67
2012,2,19,95.085
2012,2,20,93.17
2012,2,21,96.67
2012,2,22,54.93606258
2012,2,23,59.07080827
2012,3,0,62.44692169
2012,3,1,83.5735311
2012,3,2,53
2012,3,3,65.42861866
2012,3,4,62.34588635
2012,3,5,86.34304434
2012,3,6,65.33575434
2012,3,7,52.29148142
2012,3,8,45.32064137
2012,3,9,74.915
2012,3,10,71.27666667
2012,3,11,73.22
2012,3,12,49.89
2012,3,13,60.5
2012,3,14,45.60375
2012,3,15,53.33333333
2012,3,16,47.94333333
2012,3,17,72.22333333
2012,3,18,86.16666667
2012,3,19,97.835
2012,3,20,98
2012,3,21,90.835
2012,3,22,87.66666667
2012,3,23,90.8
2012,4,0,82
2012,4,1,91
2012,4,2,73.12386564
2012,4,3,93.55193114
2012,4,4,74.37476022
2012,4,5,49.11266233
2012,4,6,45.28749702
2012,4,7,93
2012,4,8,80
2012,4,9,79.11333333
2012,4,10,62.33333333
2012,4,11,59.66666667
2012,4,12,57.22333333
2012,4,13,48.75
2012,4,14,45.165
2012,4,15,48.27666667
2012,4,16,49.11333333
2012,4,17,65.83
2012,4,18,87.165
2012,4,19,91.16666667
2012,4,20,99.17
2012,4,21,97.67
2012,4,22,35.44782489
2012,4,23,49.87680362
2012,5,0,80.09779111
2012,5,1,93
2012,5,2,50.5295377
2012,5,3,92
2012,5,4,34.88323119
2012,5,5,93
2012,5,6,30.17321035
2012,5,7,99
2012,5,8,92
2012,5,9,78.77666667
2012,5,10,64.88666667
2012,5,11,56.33333333
2012,5,12,51.665
2012,5,13,49.61333333
2012,5,14,44.08
2012,5,15,46.165
2012,5,16,49.75
2012,5,17,66.67
2012,5,18,87.835
2012,5,19,92
2012,5,20,81.665
2012,5,21,86.585
2012,5,22,23.94809013
2012,5,23,84
2012,6,0,87
2012,6,1,88
2012,6,2,89
2012,6,3,70.77897712
2012,6,4,55.22982584
2012,6,5,69.67527523
2012,6,6,86
2012,6,7,85
2012,6,8,48.82845804
2012,6,9,78.39
2012,6,10,60.5
2012,6,11,62.625
2012,6,12,48.5
2012,6,13,44.66666667
2012,6,14,38.08
2012,6,15,37.66666667
2012,6,16,40.39
2012,6,17,56.75
2012,6,18,78.83333333
2012,6,19,75.02833333
2012,6,20,85.665
2012,6,21,85.165
