year,day,hour,avg
2012,1,0,969.444
2012,1,1,955.7866667
2012,1,2,964.2981818
2012,1,3,967.2533333
2012,1,4,954.3666667
2012,1,5,967.91
2012,1,6,955.0933333
2012,1,7,942.14
2012,1,8,955.4533333
2012,1,9,969.036
2012,1,10,969.0488889
2012,1,11,968.3733333
2012,1,12,940.51
2012,1,13,939.97
2012,1,14,963.095
2012,1,15,952.9425
2012,1,16,938.885
2012,1,17,938.885
2012,1,18,939.425
2012,1,19,940.51
2012,1,20,941.05
2012,1,21,941.595
2012,1,22,968.128
2012,1,23,941.595
2012,2,0,942.14
2012,2,1,954.3666667
2012,2,2,941.05
2012,2,3,941.05
2012,2,4,953.6733333
2012,2,5,941.05
2012,2,6,940.51
2012,2,7,941.595
2012,2,8,942.14
2012,2,9,942.14
2012,2,10,941.595
2012,2,11,941.05
2012,2,12,939.97
2012,2,13,938.34
2012,2,14,937.255
2012,2,15,937.8
2012,2,16,937.255
2012,2,17,937.8
2012,2,18,937.8
2012,2,19,938.34
2012,2,20,939.425
2012,2,21,939.97
2012,2,22,939.97
2012,2,23,939.97
2012,3,0,939.97
2012,3,1,938.88
2012,3,2,931.92
2012,3,3,938.88
2012,3,4,938.88
2012,3,5,938.34
2012,3,6,938.34
2012,3,7,939.425
2012,3,8,939.97
2012,3,9,940.51
2012,3,10,934.6733333
2012,3,11,933.6166667
2012,3,12,951.2533333
2012,3,13,932.5333333
2012,3,14,960.0466667
2012,3,15,948.8066667
2012,3,16,949.1133333
2012,3,17,949.8066667
2012,3,18,950.8666667
2012,3,19,938.88
2012,3,20,939.425
2012,3,21,952.98
2012,3,22,965.4377778
2012,3,23,965.3266667
2012,4,0,952.98
2012,4,1,965.2155556
2012,4,2,938.88
2012,4,3,938.34
2012,4,4,938.34
2012,4,5,938.34
2012,4,6,938.88
2012,4,7,953.3133333
2012,4,8,953.6733333
2012,4,9,953.7
2012,4,10,954.0633333
2012,4,11,953.0066667
2012,4,12,952.3133333
2012,4,13,938.88
2012,4,14,937.255
2012,4,15,949.5033333
2012,4,16,949.4733333
2012,4,17,937.8
2012,4,18,937.8
2012,4,19,951.92
2012,4,20,939.97
2012,4,21,940.51
2012,4,22,941.05
2012,4,23,941.05
2012,5,0,941.05
2012,5,1,954.0333333
2012,5,2,939.97
2012,5,3,952.98
2012,5,4,939.97
2012,5,5,953.3133333
2012,5,6,940.51
2012,5,7,954.3666667
2012,5,8,954.73
2012,5,9,954.76
2012,5,10,954.76
2012,5,11,953.73
2012,5,12,939.97
2012,5,13,951.95
2012,5,14,938.34
2012,5,15,937.8
2012,5,16,937.8
2012,5,17,938.88
2012,5,18,938.88
2012,5,19,939.425
2012,5,20,953.34
2012,5,21,953.6733333
2012,5,22,941.05
2012,5,23,954.3966667
2012,6,0,954.3966667
2012,6,1,954.0333333
2012,6,2,954.0333333
2012,6,3,940.51
2012,6,4,940.51
2012,6,5,941.05
2012,6,6,954.73
2012,6,7,955.0933333
2012,6,8,942.14
2012,6,9,955.4533333
2012,6,10,956.1466667
2012,6,11,947.34
2012,6,12,954.0633333
2012,6,13,946.275
2012,6,14,938.88
2012,6,15,951.2566667
2012,6,16,951.59
2012,6,17,934.6466667
2012,6,18,952.98
2012,6,19,968.1222222
2012,6,20,970.79
2012,6,21,955.0933333
2012,6,22,947.59
