year,day,hour,avg
2012,1,0,18.99375
2012,1,1,17.15666667
2012,1,2,19.82111111
2012,1,3,18.13625
2012,1,4,16.17
2012,1,5,17.09125
2012,1,6,15.34333333
2012,1,7,16.66
2012,1,8,18.63666667
2012,1,9,24.92875
2012,1,10,28.90571429
2012,1,11,31.3
2012,1,12,30.87
2012,1,13,31.36
2012,1,14,34.03714286
2012,1,15,33.075
2012,1,16,29.4
2012,1,17,26.705
2012,1,18,22.785
2012,1,19,20.09
2012,1,20,18.865
2012,1,21,17.885
2012,1,22,20.575
2012,1,23,16.66
2012,2,0,16.415
2012,2,1,17.65
2012,2,2,15.435
2012,2,3,14.945
2012,2,4,16.5
2012,2,5,14.945
2012,2,6,14.455
2012,2,7,14.21
2012,2,8,17.395
2012,2,9,23.765
2012,2,10,28.91
2012,2,11,30.625
2012,2,12,31.115
2012,2,13,31.605
2012,2,14,30.135
2012,2,15,27.195
2012,2,16,28.665
2012,2,17,26.46
2012,2,18,21.805
2012,2,19,19.6
2012,2,20,18.62
2012,2,21,18.375
2012,2,22,18.375
2012,2,23,17.64
2012,3,0,16.905
2012,3,1,16.66
2012,3,2,20.25
2012,3,3,15.435
2012,3,4,15.19
2012,3,5,14.7
2012,3,6,15.19
2012,3,7,15.19
2012,3,8,17.395
2012,3,9,24.99
2012,3,10,25.96666667
2012,3,11,25.63
2012,3,12,32.34333333
2012,3,13,25.16333333
2012,3,14,34.72625
2012,3,15,31.35
2012,3,16,31.85666667
2012,3,17,27.12
2012,3,18,23.53333333
2012,3,19,19.6
2012,3,20,18.62
2012,3,21,20.25
2012,3,22,22.05625
2012,3,23,21.38375
2012,4,0,18.93333333
2012,4,1,20.32625
2012,4,2,16.66
2012,4,3,15.925
2012,4,4,15.925
2012,4,5,16.17
2012,4,6,15.19
2012,4,7,16.82666667
2012,4,8,19.43
2012,4,9,25.00333333
2012,4,10,29.9
2012,4,11,31.03
2012,4,12,30.87666667
2012,4,13,31.36
2012,4,14,33.32
2012,4,15,31.7
2012,4,16,31.36666667
2012,4,17,26.215
2012,4,18,22.05
2012,4,19,21.56
2012,4,20,19.11
2012,4,21,18.62
2012,4,22,17.885
2012,4,23,17.15
2012,5,0,16.66
2012,5,1,17.64666667
2012,5,2,15.925
2012,5,3,17.15666667
2012,5,4,15.19
2012,5,5,16.82666667
2012,5,6,15.19
2012,5,7,18.615
2012,5,8,18.3
2012,5,9,24.84333333
2012,5,10,29.57666667
2012,5,11,31.68666667
2012,5,12,30.87
2012,5,13,31.03
2012,5,14,30.38
2012,5,15,30.625
2012,5,16,28.175
2012,5,17,24.745
2012,5,18,21.07
2012,5,19,18.865
2012,5,20,19.59666667
2012,5,21,18.63666667
2012,5,22,16.17
2012,5,23,17.15333333
2012,6,0,16.66
2012,6,1,16.33333333
2012,6,2,18.615
2012,6,3,17.64
2012,6,4,17.64
2012,6,5,17.15
2012,6,6,17.63
2012,6,7,17.63
2012,6,8,15.68
2012,6,9,22.87
2012,6,10,28.09333333
2012,6,11,27.0675
2012,6,12,31.53666667
2012,6,13,27.0675
2012,6,14,32.34
2012,6,15,32.65666667
2012,6,16,30.70666667
2012,6,17,24.99
2012,6,18,21.72666667
2012,6,19,22.41285714
2012,6,20,21.305
2012,6,21,17.79
2012,6,22,19.2525
2012,6,23,20.76875
2012,7,0,23.35333333
2012,7,1,20.41777778
2012,7,2,23.52
2012,7,3,25.98
2012,7,4,23.52
2012,7,5,18.68375
2012,7,6,19.59
2012,7,7,18.95666667
2012,7,8,17.775
2012,7,9,22.86666667
2012,7,10,27.94
2012,7,11,30.79642857
2012,7,12,33.395
2012,7,13,34.97928571
2012,7,14,35.60785714
2012,7,15,35.37
2012,7,16,33.54357143
2012,7,17,31.16142857
2012,7,18,25.92642857
2012,7,19,23.04214286
2012,7,20,20.96785714
2012,7,21,15.19
2012,7,22,17.64
2012,7,23,17.15
2012,8,0,17.15
2012,8,1,16.66
2012,8,2,18.38
2012,8,3,16.66
2012,8,4,16.66
2012,8,5,17.385
2012,8,6,15.68
2012,8,7,16.17
2012,8,8,18.34714286
2012,8,9,23.69666667
2012,8,10,28.09666667
2012,8,11,29.89
2012,8,12,29.89
2012,8,13,31.52333333
2012,8,14,32.34
2012,8,15,30.38
2012,8,16,30.54
2012,8,17,25.48
2012,8,18,20.825
2012,8,19,19.59666667
2012,8,20,16.66
2012,8,21,17.95333333
2012,8,22,18.95666667
2012,8,23,18.79333333
2012,9,0,25.01
2012,9,1,23.765
2012,9,2,24.02
2012,9,3,21.55
2012,9,4,19.53125
2012,9,5,21.38666667
2012,9,6,19.25666667
2012,9,7,18.45666667
2012,9,8,19.10666667
2012,9,9,20.3375
2012,9,10,27.44133333
2012,9,11,29.902
2012,9,12,31.52
2012,9,13,32.446
2012,9,14,32.81
2012,9,15,32.42866667
2012,9,16,30.908
2012,9,17,30.08428571
2012,9,18,25.525
2012,9,19,22.74714286
2012,9,20,21.128
2012,9,21,20.13733333
2012,9,22,19.90533333
2012,9,23,19.66666667
2012,10,0,19.43214286
2012,10,1,19.06857143
2012,10,2,18.455
2012,10,3,18.21285714
2012,10,4,17.72
2012,10,5,16.44538462
2012,10,6,16.52785714
2012,10,7,16.11428571
2012,10,8,17.634
2012,10,9,22.28666667
2012,10,10,26.134
2012,10,11,28.588
2012,10,12,30.324
2012,10,13,32.19285714
2012,10,14,32.97928571
2012,10,15,32.30714286
2012,10,16,30.97857143
2012,10,17,28.89
2012,10,18,24.20333333
2012,10,19,21.68533333
2012,10,20,20.68266667
2012,10,21,20.13066667
2012,10,22,19.99933333
2012,10,23,19.508
2012,11,0,19.32357143
2012,11,1,19.31142857
2012,11,2,18.96857143
2012,11,3,19.14642857
2012,11,4,18.93285714
2012,11,5,18.26857143
2012,11,6,17.86615385
2012,11,7,17.53357143
2012,11,8,18.55733333
2012,11,9,23.064
2012,11,10,27.744
2012,11,11,29.89333333
2012,11,12,31.546
2012,11,13,32.238
2012,11,14,33.99571429
2012,11,15,32.16133333
2012,11,16,31.71642857
2012,11,17,28.396
2012,11,18,25.58071429
2012,11,19,23.87785714
2012,11,20,22.83142857
2012,11,21,21.89733333
2012,11,22,21.37266667
2012,11,23,20.515
2012,12,0,20.30857143
2012,12,1,20.104
2012,12,2,20.085
2012,12,3,19.01777778
2012,12,4,18.86
2012,12,5,18.35444444
2012,12,6,16.83666667
2012,12,7,17.77
2012,12,8,17.80666667
2012,12,9,23.15416667
2012,12,10,25.24
2012,12,11,25.97
2012,12,12,28.42142857
2012,12,13,29.96125
2012,12,14,30.39
2012,12,15,26.36
2012,12,16,27.29333333
2012,12,17,21.57333333
